"Regio's";"Perioden";"aantal";"aantal inwoners per km²";"km²"
"Boxmeer";"2020";"29365";"263";"111,44"
"Boxtel";"2020";"30801";"483";"63,73"
"Brakel";"2020";"";"";""
"Breda";"2020";"184069";"1464";"125,74"
"Brederwiede";"2020";"";"";""
"Breukelen";"2020";"";"";""
"Brielle";"2020";"17271";"627";"27,55"
"Broekhuizen";"2020";"";"";""
"Bronckhorst";"2020";"36055";"127";"283,50"
"Brouwershaven";"2020";"";"";""
"Bruinisse";"2020";"";"";""
"Brummen";"2020";"20726";"248";"83,65"
"Brunssum";"2020";"27821";"1613";"17,25"
"Budel";"2020";"";"";""
"Bunnik";"2020";"15191";"411";"36,97"
"Bunschoten";"2020";"21866";"720";"30,38"
"Buren";"2020";"26749";"200";"133,89"
"Bussum";"2020";"";"";""
"Capelle aan den IJssel";"2020";"67122";"4747";"14,14"
"Castricum";"2020";"35986";"724";"49,68"
"Chaam";"2020";"";"";""
"Coevorden";"2020";"35297";"119";"296,07"
"Cothen";"2020";"";"";""
"Cranendonck";"2020";"21138";"277";"76,40"
"Cromstrijen";"2020";"";"";""
"Cuijk";"2020";"25130";"491";"51,16"
"Culemborg";"2020";"28955";"989";"29,29"
"Dalen";"2020";"";"";""
"Dalfsen";"2020";"28587";"173";"165,07"
"Dantumadeel";"2020";"";"";""
"Dantumadiel";"2020";"18922";"224";"84,66"
"Delft";"2020";"103595";"4573";"22,65"
"Delfzijl";"2020";"24678";"185";"133,07"
"Denekamp";"2020";"";"";""
"Deurne";"2020";"32471";"278";"116,93"
"Deventer";"2020";"100719";"771";"130,68"
"Didam";"2020";"";"";""
"Diemen";"2020";"30780";"2566";"11,99"
"Diepenheim";"2020";"";"";""
"Diepenveen";"2020";"";"";""
"Diessen";"2020";"";"";""
"Diever";"2020";"";"";""
"Dinkelland";"2020";"26461";"151";"175,71"
"Dinteloord en Prinsenland";"2020";"";"";""
"Dinxperlo";"2020";"";"";""
"Dirksland";"2020";"";"";""
"Dodewaard";"2020";"";"";""
"Doesburg";"2020";"11077";"961";"11,53"
"Doetinchem";"2020";"58001";"734";"79,05"
"Domburg";"2020";"";"";""
"Dongen";"2020";"26222";"897";"29,24"
"Dongeradeel";"2020";"";"";""
"Doorn";"2020";"";"";""
"Dordrecht";"2020";"119284";"1519";"78,54"
"Drechterland";"2020";"19719";"335";"58,89"
"Driebergen-Rijsenburg";"2020";"";"";""
"Drimmelen";"2020";"27272";"287";"95,18"
"Dronten";"2020";"41555";"125";"333,57"
"Drunen";"2020";"";"";""
"Druten";"2020";"18926";"503";"37,64"
"Duiveland";"2020";"";"";""
"Duiven";"2020";"25126";"741";"33,90"
"Den Dungen";"2020";"";"";""
"Dussen";"2020";"";"";""
"Dwingeloo";"2020";"";"";""
"Echt";"2020";"";"";""
"Echteld";"2020";"";"";""
"Echt-Susteren";"2020";"31610";"307";"103,07"
"Edam-Volendam";"2020";"36197";"666";"54,33"
"Ede";"2020";"117165";"368";"318,18"
"Eelde";"2020";"";"";""
"Eemnes";"2020";"9247";"298";"31,04"
"Eemsmond";"2020";"";"";""
"Eersel";"2020";"19313";"234";"82,46"
"Egmond";"2020";"";"";""
"Eibergen";"2020";"";"";""
"Eijsden";"2020";"";"";""
"Eijsden-Margraten";"2020";"25768";"332";"77,55"
"Eindhoven";"2020";"234394";"2674";"87,66"
"Elburg";"2020";"23161";"363";"63,82"
"Elst";"2020";"";"";""
"Emmen";"2020";"107048";"319";"335,18"
"Enkhuizen";"2020";"18591";"1466";"12,68"
"Enschede";"2020";"159640";"1134";"140,83"
"Epe";"2020";"33178";"213";"156,07"
"Ermelo";"2020";"27008";"315";"85,63"
"Esch";"2020";"";"";""
"Etten-Leur";"2020";"43878";"793";"55,30"
"Ferwerderadeel";"2020";"";"";""
"Ferwerderadiel";"2020";"";"";""
"Fijnaart en Heijningen";"2020";"";"";""
"Franekeradeel";"2020";"";"";""
"De Friese Meren";"2020";"";"";""
"De Fryske Marren";"2020";"51564";"147";"351,29"
"Gaasterlân-Sleat";"2020";"";"";""
"Gasselte";"2020";"";"";""
"Geertruidenberg";"2020";"21544";"809";"26,63"
"Geldermalsen";"2020";"";"";""
"Geldrop";"2020";"";"";""
"Geldrop-Mierlo";"2020";"39726";"1281";"31,01"
"Geleen";"2020";"";"";""
"Gemert";"2020";"";"";""
"Gemert-Bakel";"2020";"30723";"252";"122,14"
"Gendringen";"2020";"";"";""
"Gendt";"2020";"";"";""
"Genemuiden";"2020";"";"";""
"Gennep";"2020";"16921";"355";"47,62"
"Giessenlanden";"2020";"";"";""
"Gieten";"2020";"";"";""
"Gilze en Rijen";"2020";"26431";"404";"65,38"
"Goedereede";"2020";"";"";""
"Goeree-Overflakkee";"2020";"50049";"192";"260,48"
"Goes";"2020";"38082";"411";"92,58"
"Goirle";"2020";"23904";"556";"42,99"
"Gooise Meren";"2020";"58055";"1396";"41,59"
"Goor";"2020";"";"";""
"Gorinchem";"2020";"37022";"1966";"18,83"
"Gorssel";"2020";"";"";""
"Gouda";"2020";"73427";"4449";"16,50"
"Graafstroom";"2020";"";"";""
"Graft-De Rijp";"2020";"";"";""
"Gramsbergen";"2020";"";"";""
"Grave";"2020";"12436";"457";"27,18"
"'s-Graveland";"2020";"";"";""
"'s-Gravendeel";"2020";"";"";""
"'s-Gravenhage (gemeente)";"2020";"545838";"6620";"82,45"
"'s-Gravenmoer";"2020";"";"";""
"'s-Gravenzande";"2020";"";"";""
"Groenlo";"2020";"";"";""
"Groesbeek";"2020";"";"";""
"Groningen (gemeente)";"2020";"232874";"1255";"185,60"
"Grootegast";"2020";"";"";""
"Grubbenvorst";"2020";"";"";""
"Gulpen";"2020";"";"";""
"Gulpen-Wittem";"2020";"14171";"194";"73,18"
"Haaksbergen";"2020";"24311";"232";"104,82"
"Haaren";"2020";"14370";"249";"57,70"
"Haarlem";"2020";"162902";"5585";"29,17"
"Haarlemmerliede en Spaarnwoude";"2020";"";"";""
"Haarlemmermeer";"2020";"156002";"790";"197,48"
"Haelen";"2020";"";"";""
"Halderberge";"2020";"30284";"407";"74,47"
"Halsteren";"2020";"";"";""
"Den Ham";"2020";"";"";""
"Hardenberg";"2020";"60948";"195";"312,28"
"Harderwijk";"2020";"48414";"1245";"38,89"
"Hardinxveld-Giessendam";"2020";"18295";"1082";"16,91"
"Haren";"2020";"";"";""
"Harenkarspel";"2020";"";"";""
"Harlingen";"2020";"15722";"630";"24,96"
"Harmelen";"2020";"";"";""
"Hasselt";"2020";"";"";""
"Hattem";"2020";"12209";"529";"23,08"
"Havelte";"2020";"";"";""
"Hedel";"2020";"";"";""
"Heel";"2020";"";"";""
"Heemskerk";"2020";"39182";"1433";"27,34"
"Heemstede";"2020";"27234";"2968";"9,18"
"Heerde";"2020";"18589";"236";"78,74"
"Heerenveen";"2020";"50493";"266";"190,09"
"Heerewaarden";"2020";"";"";""
"Heerhugowaard";"2020";"57587";"1507";"38,21"
"Heerjansdam";"2020";"";"";""
"Heerlen";"2020";"87086";"1938";"44,94"
"Heesch";"2020";"";"";""
"Heeze";"2020";"";"";""
"Heeze-Leende";"2020";"16152";"155";"104,02"
"Heiloo";"2020";"23968";"1282";"18,70"
"Heino";"2020";"";"";""
"Helden";"2020";"";"";""
"Den Helder";"2020";"56296";"1244";"45,25"
"Hellendoorn";"2020";"35916";"260";"137,91"
"Hellevoetsluis";"2020";"40142";"977";"41,10"
"Helmond";"2020";"92423";"1738";"53,18"
"Helvoirt";"2020";"";"";""
"Hendrik-Ido-Ambacht";"2020";"31202";"2940";"10,61"
"Hengelo (Gld.)";"2020";"";"";""
"Hengelo (O.)";"2020";"81140";"1334";"60,84"
"'s-Hertogenbosch";"2020";"155111";"1410";"109,99"
"Heteren";"2020";"";"";""
"Heumen";"2020";"16454";"414";"39,76"
"Heusden";"2020";"44692";"567";"78,88"
"Heythuysen";"2020";"";"";""
"Hillegom";"2020";"22209";"1725";"12,87"
"Hilvarenbeek";"2020";"15518";"164";"94,85"
"Hilversum";"2020";"90831";"1991";"45,61"
"Hoeksche Waard";"2020";"87401";"325";"268,93"
"Hoevelaken";"2020";"";"";""
"Hoeven";"2020";"";"";""
"Hof van Twente";"2020";"35017";"165";"212,56"
"Het Hogeland";"2020";"47801";"99";"482,75"
"Hollands Kroon";"2020";"48432";"136";"357,34"
"Holten";"2020";"";"";""
"Hontenisse";"2020";"";"";""
"Hooge en Lage Mierde";"2020";"";"";""
"Hooge en Lage Zwaluwe";"2020";"";"";""
"Hoogeloon, Hapert en Casteren";"2020";"";"";""
"Hoogeveen";"2020";"55699";"437";"127,54"
"Hoogezand-Sappemeer";"2020";"";"";""
"Hoorn";"2020";"73261";"3595";"20,38"
"Horst";"2020";"";"";""
"Horst aan de Maas";"2020";"42429";"225";"188,73"
"Houten";"2020";"50146";"913";"54,94"
"Huijbergen";"2020";"";"";""
"Huissen";"2020";"";"";""
"Huizen";"2020";"41273";"2611";"15,81"
"Hulst";"2020";"27556";"137";"201,71"
"Hummelo en Keppel";"2020";"";"";""
"Hunsel";"2020";"";"";""
"IJsselham";"2020";"";"";""
"IJsselmuiden";"2020";"";"";""
"IJsselstein";"2020";"34109";"1619";"21,07"
"Jacobswoude";"2020";"";"";""
"Kaag en Braassem";"2020";"27297";"432";"63,24"
"Kampen";"2020";"54319";"382";"142,18"
"Kapelle";"2020";"12695";"342";"37,13"
"Katwijk";"2020";"65753";"2657";"24,75"
"Kerkrade";"2020";"45749";"2088";"21,91"
"Kerkwijk";"2020";"";"";""
"Kessel";"2020";"";"";""
"Kesteren";"2020";"";"";""
"Klundert";"2020";"";"";""
"Koggenland";"2020";"22749";"283";"80,32"
"Kollumerland en Nieuwkruisland";"2020";"";"";""
"Korendijk";"2020";"";"";""
"Krimpen aan den IJssel";"2020";"29526";"3841";"7,69"
"Krimpenerwaard";"2020";"56319";"380";"148,40"
"Laarbeek";"2020";"22523";"407";"55,35"
"Landerd";"2020";"15730";"224";"70,35"
"Landgraaf";"2020";"37445";"1523";"24,58"
"Landsmeer";"2020";"11491";"510";"22,53"
"Langbroek";"2020";"";"";""
"Langedijk";"2020";"28163";"1179";"23,88"
"Lansingerland";"2020";"62384";"1168";"53,42"
"Laren (NH.)";"2020";"11280";"909";"12,41"
"Leek";"2020";"";"";""
"Leende";"2020";"";"";""
"Leerdam";"2020";"";"";""
"Leersum";"2020";"";"";""
"Leeuwarden";"2020";"124084";"521";"238,38"
"Leeuwarderadeel";"2020";"";"";""
"Leiden";"2020";"125099";"5710";"21,91"
"Leiderdorp";"2020";"27056";"2337";"11,58"
"Leidschendam";"2020";"";"";""
"Leidschendam-Voorburg";"2020";"76534";"2351";"32,55"
"Lelystad";"2020";"78598";"341";"230,32"
"Lemsterland";"2020";"";"";""
"Leudal";"2020";"35879";"220";"162,73"
"Leusden";"2020";"30401";"519";"58,54"
"Lichtenvoorde";"2020";"";"";""
"Liemeer";"2020";"";"";""
"Liempde";"2020";"";"";""
"Lienden";"2020";"";"";""
"De Lier";"2020";"";"";""
"Lieshout";"2020";"";"";""
"Liesveld";"2020";"";"";""
"Limmen";"2020";"";"";""
"Lingewaal";"2020";"";"";""
"Lingewaard";"2020";"46601";"752";"62,00"
"Lisse";"2020";"22955";"1463";"15,69"
"Lith";"2020";"";"";""
"Littenseradiel";"2020";"";"";""
"Lochem";"2020";"33729";"158";"213,03"
"Loenen";"2020";"";"";""
"Loon op Zand";"2020";"23408";"469";"49,94"
"Loosdrecht";"2020";"";"";""
"Lopik";"2020";"14467";"191";"75,57"
"Loppersum";"2020";"9537";"86";"111,04"
"Losser";"2020";"22683";"230";"98,76"
"Luyksgestel";"2020";"";"";""
"Maarheeze";"2020";"";"";""
"Maarn";"2020";"";"";""
"Maarssen";"2020";"";"";""
"Maartensdijk";"2020";"";"";""
"Maasbracht";"2020";"";"";""
"Maasbree";"2020";"";"";""
"Maasdonk";"2020";"";"";""
"Maasdriel";"2020";"25030";"379";"66,11"
"Maasgouw";"2020";"23965";"524";"45,71"
"Maasland";"2020";"";"";""
"Maassluis";"2020";"33213";"3918";"8,48"
"Maastricht";"2020";"121575";"2172";"55,99"
"Made";"2020";"";"";""
"Made en Drimmelen";"2020";"";"";""
"Margraten";"2020";"";"";""
"Mariekerke";"2020";"";"";""
"Markelo";"2020";"";"";""
"De Marne";"2020";"";"";""
"Marum";"2020";"";"";""
"Maurik";"2020";"";"";""
"Medemblik";"2020";"45101";"371";"121,42"
"Meerlo-Wanssum";"2020";"";"";""
"Meerssen";"2020";"18828";"698";"26,96"
"Meierijstad";"2020";"81194";"441";"184,09"
"Meijel";"2020";"";"";""
"Menaldumadeel";"2020";"";"";""
"Menameradiel";"2020";"";"";""
"Menterwolde";"2020";"";"";""
"Meppel";"2020";"33920";"611";"55,53"
"Middelburg (Z.)";"2020";"48822";"1008";"48,42"
"Middelharnis";"2020";"";"";""
"Midden-Delfland";"2020";"19341";"410";"47,19"
"Midden-Drenthe";"2020";"33185";"97";"340,51"
"Midden-Groningen";"2020";"60797";"217";"280,00"
"Middenschouwen";"2020";"";"";""
"Middenveld";"2020";"";"";""
"Mierlo";"2020";"";"";""
"Mill en Sint Hubert";"2020";"10939";"209";"52,23"
"Millingen aan de Rijn";"2020";"";"";""
"Moerdijk";"2020";"37129";"233";"159,15"
"Moergestel";"2020";"";"";""
"Molenlanden";"2020";"43909";"242";"181,73"
"Molenwaard";"2020";"";"";""
"Monster";"2020";"";"";""
"Montferland";"2020";"36011";"341";"105,70"
"Montfoort";"2020";"13917";"370";"37,57"
"Mook en Middelaar";"2020";"7847";"451";"17,38"
"Moordrecht";"2020";"";"";""
"Muiden";"2020";"";"";""
"Naaldwijk";"2020";"";"";""
"Naarden";"2020";"";"";""
"Neder-Betuwe";"2020";"24339";"406";"59,98"
"Nederhorst den Berg";"2020";"";"";""
"Nederlek";"2020";"";"";""
"Nederweert";"2020";"17019";"170";"99,98"
"Neede";"2020";"";"";""
"Neerijnen";"2020";"";"";""
"Niedorp";"2020";"";"";""
"Nieuwegein";"2020";"63462";"2700";"23,51"
"Nieuwerkerk aan den IJssel";"2020";"";"";""
"Nieuw-Ginneken";"2020";"";"";""
"Nieuwkoop";"2020";"28811";"369";"78,05"
"Nieuw-Lekkerland";"2020";"";"";""
"Nieuwleusen";"2020";"";"";""
"Nieuw-Vossemeer";"2020";"";"";""
"Nijefurd";"2020";"";"";""
"Nijeveen";"2020";"";"";""
"Nijkerk";"2020";"43171";"623";"69,34"
"Nijmegen";"2020";"177659";"3346";"53,09"
"Nissewaard";"2020";"85219";"1158";"73,58"
"Noardeast-Fryslân";"2020";"45228";"120";"377,83"
"Noord-Beveland";"2020";"7392";"86";"85,96"
"Noordenveld";"2020";"31253";"157";"199,41"
"Noorder-Koggenland";"2020";"";"";""
"Noordoostpolder";"2020";"47291";"103";"458,17"
"Noordwijk";"2020";"43508";"745";"58,37"
"Noordwijkerhout";"2020";"";"";""
"Nootdorp";"2020";"";"";""
"Norg";"2020";"";"";""
"Nuenen, Gerwen en Nederwetten";"2020";"23383";"694";"33,71"
"Nunspeet";"2020";"27851";"216";"128,74"
"Nuth";"2020";"";"";""
"Obdam";"2020";"";"";""
"Odoorn";"2020";"";"";""
"Oegstgeest";"2020";"24840";"3399";"7,31"
"Oirschot";"2020";"18714";"184";"101,78"
"Oisterwijk";"2020";"26245";"411";"63,84"
"Oldambt";"2020";"38209";"169";"226,66"
"Oldebroek";"2020";"23646";"242";"97,65"
"Oldenzaal";"2020";"31836";"1477";"21,55"
"Olst";"2020";"";"";""
"Olst-Wijhe";"2020";"18252";"160";"113,84"
"Ommen";"2020";"18009";"100";"179,90"
"Onderbanken";"2020";"";"";""
"Oost Gelre";"2020";"29627";"270";"109,93"
"Oost-, West- en Middelbeers";"2020";"";"";""
"Oostburg";"2020";"";"";""
"Oosterhesselen";"2020";"";"";""
"Oosterhout";"2020";"55982";"783";"71,47"
"Oostflakkee";"2020";"";"";""
"Ooststellingwerf";"2020";"25469";"114";"223,42"
"Oostzaan";"2020";"9735";"845";"11,53"
"Ootmarsum";"2020";"";"";""
"Opmeer";"2020";"11836";"285";"41,50"
"Opsterland";"2020";"29733";"132";"224,40"
"Oss";"2020";"91915";"563";"163,16"
"Ossendrecht";"2020";"";"";""
"Oud en Nieuw Gastel";"2020";"";"";""
"Oud-Beijerland";"2020";"";"";""
"Oude IJsselstreek";"2020";"39388";"289";"136,15"
"Oudenbosch";"2020";"";"";""
"Ouder-Amstel";"2020";"14026";"583";"24,08"
"Ouderkerk";"2020";"";"";""
"Oudewater";"2020";"10230";"263";"38,90"
"Overbetuwe";"2020";"47906";"439";"109,19"
"Papendrecht";"2020";"32136";"3414";"9,41"
"Peel en Maas";"2020";"43425";"272";"159,37"
"Peize";"2020";"";"";""
"Pekela";"2020";"12196";"249";"49,04"
"Pijnacker";"2020";"";"";""
"Pijnacker-Nootdorp";"2020";"55308";"1491";"37,08"
"Prinsenbeek";"2020";"";"";""
"Purmerend";"2020";"81249";"3509";"23,15"
"Putte";"2020";"";"";""
"Putten";"2020";"24112";"283";"85,22"
"Raalte";"2020";"37712";"221";"170,99"
"Raamsdonk";"2020";"";"";""
"Ravenstein";"2020";"";"";""
"Reeuwijk";"2020";"";"";""
"Reiderland";"2020";"";"";""
"Reimerswaal";"2020";"22730";"223";"101,80"
"Renkum";"2020";"31419";"684";"45,95"
"Renswoude";"2020";"5444";"296";"18,40"
"Reusel";"2020";"";"";""
"Reusel-De Mierden";"2020";"13112";"168";"77,88"
"Rheden";"2020";"43761";"535";"81,74"
"Rhenen";"2020";"20119";"478";"42,08"
"Ridderkerk";"2020";"46189";"1948";"23,72"
"Riethoven";"2020";"";"";""
"Rijnsburg";"2020";"";"";""
"Rijnwaarden";"2020";"";"";""
"Rijnwoude";"2020";"";"";""
"Rijsbergen";"2020";"";"";""
"Rijssen";"2020";"";"";""
"Rijssen-Holten";"2020";"38177";"406";"94,13"
"Rijswijk (ZH.)";"2020";"54450";"3901";"13,96"
"Roden";"2020";"";"";""
"Roerdalen";"2020";"20574";"233";"88,21"
"Roermond";"2020";"58260";"958";"60,81"
"Roggel en Neer";"2020";"";"";""
"Rolde";"2020";"";"";""
"De Ronde Venen";"2020";"44456";"445";"99,92"
"Roosendaal";"2020";"77251";"725";"106,50"
"Roosendaal en Nispen";"2020";"";"";""
"Rosmalen";"2020";"";"";""
"Rossum";"2020";"";"";""
"Rotterdam";"2020";"651157";"2993";"217,55"
"Rozenburg";"2020";"";"";""
"Rozendaal";"2020";"1704";"61";"27,90"
"Rucphen";"2020";"22878";"355";"64,41"
"Ruinen";"2020";"";"";""
"Ruinerwold";"2020";"";"";""
"Ruurlo";"2020";"";"";""
"Sas van Gent";"2020";"";"";""
"Sassenheim";"2020";"";"";""
"Schagen";"2020";"46483";"276";"168,25"
"Scheemda";"2020";"";"";""
"Schermer";"2020";"";"";""
"Scherpenzeel";"2020";"9880";"717";"13,79"
"Schiedam";"2020";"78730";"4417";"17,82"
"Schiermonnikoog";"2020";"947";"23";"40,50"
"Schijndel";"2020";"";"";""
"Schinnen";"2020";"";"";""
"Schipluiden";"2020";"";"";""
"Schoonebeek";"2020";"";"";""
"Schoonhoven";"2020";"";"";""
"Schoorl";"2020";"";"";""
"Schouwen-Duiveland";"2020";"33839";"147";"229,65"
"Sevenum";"2020";"";"";""
"Simpelveld";"2020";"10555";"658";"16,03"
"Sint Anthonis";"2020";"11664";"117";"99,27"
"Sint-Michielsgestel";"2020";"29208";"500";"58,38"
"Sint-Oedenrode";"2020";"";"";""
"Sittard";"2020";"";"";""
"Sittard-Geleen";"2020";"92429";"1170";"79,01"
"Skarsterlân";"2020";"";"";""
"Sleen";"2020";"";"";""
"Sliedrecht";"2020";"25220";"1965";"12,84"
"Slochteren";"2020";"";"";""
"Sluis";"2020";"23210";"83";"279,36"
"Sluis-Aardenburg";"2020";"";"";""
"Smallingerland";"2020";"56150";"479";"117,31"
"Smilde";"2020";"";"";""
"Sneek";"2020";"";"";""
"Soest";"2020";"46606";"1008";"46,24"
"Someren";"2020";"19368";"241";"80,27"
"Son en Breugel";"2020";"17322";"667";"25,95"
"Spijkenisse";"2020";"";"";""
"Sprang-Capelle";"2020";"";"";""
"St. Anthonis";"2020";"";"";""
"Stad Delden";"2020";"";"";""
"Stadskanaal";"2020";"31686";"269";"117,64"
"Standdaarbuiten";"2020";"";"";""
"Staphorst";"2020";"17145";"128";"133,99"
"Stede Broec";"2020";"21726";"1498";"14,50"
"Steenbergen";"2020";"24416";"167";"146,43"
"Steenderen";"2020";"";"";""
"Steenwijk";"2020";"";"";""
"Steenwijkerland";"2020";"44126";"153";"288,27"
"Stein (L.)";"2020";"25007";"1186";"21,08"
"Stichtse Vecht";"2020";"64931";"676";"96,10"
"Stramproy";"2020";"";"";""
"Strijen";"2020";"";"";""
"Súdwest-Fryslân";"2020";"89987";"172";"523,01"
"Susteren";"2020";"";"";""
"Swalmen";"2020";"";"";""
"Tegelen";"2020";"";"";""
"Terheijden";"2020";"";"";""
"Terneuzen";"2020";"54426";"217";"250,38"
"Terschelling";"2020";"4888";"57";"85,26"
"Teteringen";"2020";"";"";""
"Texel";"2020";"13575";"84";"162,00"
"Teylingen";"2020";"37440";"1319";"28,38"
"Tholen";"2020";"25757";"176";"146,71"
"Thorn";"2020";"";"";""
"Tiel";"2020";"42159";"1282";"32,88"
"Tilburg";"2020";"219789";"1892";"116,17"
"Tubbergen";"2020";"21275";"145";"147,00"
"Twenterand";"2020";"33743";"318";"106,17"
"Tynaarlo";"2020";"33887";"237";"143,00"
"Tytsjerksteradiel";"2020";"32052";"215";"148,86"
"Ubbergen";"2020";"";"";""
"Uden";"2020";"42119";"629";"67,00"
"Udenhout";"2020";"";"";""
"Uitgeest";"2020";"13666";"713";"19,16"
"Uithoorn";"2020";"29478";"1625";"18,14"
"Urk";"2020";"21031";"1599";"13,15"
"Utrecht (gemeente)";"2020";"357597";"3811";"93,83"
"Utrechtse Heuvelrug";"2020";"49580";"376";"132,01"
"Vaals";"2020";"10105";"423";"23,89"
"Valburg";"2020";"";"";""
"Valkenburg (ZH.)";"2020";"";"";""
"Valkenburg aan de Geul";"2020";"16367";"446";"36,73"
"Valkenisse";"2020";"";"";""
"Valkenswaard";"2020";"31193";"568";"54,92"
"Veendam";"2020";"27384";"360";"76,00"
"Veenendaal";"2020";"66493";"3417";"19,46"
"Veere";"2020";"21880";"165";"132,56"
"Veghel";"2020";"";"";""
"Veldhoven";"2020";"45466";"1435";"31,69"
"Velsen";"2020";"68648";"1519";"45,20"
"Venhuizen";"2020";"";"";""
"Venlo";"2020";"101802";"819";"124,25"
"Venray";"2020";"43614";"267";"163,27"
"Vessem, Wintelre en Knegsel";"2020";"";"";""
"Vianen";"2020";"";"";""
"Vierlingsbeek";"2020";"";"";""
"Vijfheerenlanden";"2020";"56811";"388";"146,41"
"Vlaardingen";"2020";"73397";"3114";"23,57"
"Vlagtwedde";"2020";"";"";""
"Vledder";"2020";"";"";""
"Vleuten-De Meern";"2020";"";"";""
"Vlieland";"2020";"1155";"30";"39,15"
"Vlijmen";"2020";"";"";""
"Vlissingen";"2020";"44360";"1293";"34,31"
"Vlist";"2020";"";"";""
"Voerendaal";"2020";"12475";"396";"31,51"
"Voorburg";"2020";"";"";""
"Voorhout";"2020";"";"";""
"Voorschoten";"2020";"25596";"2297";"11,14"
"Voorst";"2020";"24552";"200";"122,97"
"Vorden";"2020";"";"";""
"Vries";"2020";"";"";""
"Vriezenveen";"2020";"";"";""
"Vught";"2020";"26558";"787";"33,75"
